Number of Run,k_f,Noise Level,Figure of Merit
3,400000,-175,46.5278175104025
4,400000,-175,46.5099473321364
5,400000,-175,46.2618015117296
6,400000,-175,46.2452017166758
7,400000,-175,46.4251898504302
8,400000,-175,46.1945066141326
9,400000,-175,46.3015464968192
10,400000,-175,46.3264664609369
1,400000,-174,46.2295642379798
2,400000,-174,46.2276156267869
3,400000,-174,46.2695028393853
4,400000,-174,46.1857798273334
5,400000,-174,46.4122526659595
6,400000,-174,46.2848266592387
7,400000,-174,46.3104482245322
8,400000,-174,46.3364799686953
9,400000,-174,46.3316141903786
10,400000,-174,45.9748916866718
1,400000,-173,46.2003119517091
2,400000,-173,46.2049081363966
3,400000,-173,45.9776160741101
4,400000,-173,46.0426880105156
5,400000,-173,46.2675124395776
6,400000,-173,45.8820591870867
7,400000,-173,46.2805647300081
8,400000,-173,46.3574719824727
9,400000,-173,46.2857751622497
10,400000,-173,46.1226877116538
1,400000,-172,46.3192622624604
2,400000,-172,46.1307474473592
3,400000,-172,46.5227000107379
4,400000,-172,46.2172725075354
5,400000,-172,46.7517426113715
6,400000,-172,46.279589109108
7,400000,-172,46.4697419411487
8,400000,-172,46.3928944195212
9,400000,-172,46.3587082959571
10,400000,-172,46.1576681216763
1,400000,-171,46.401427458975
2,400000,-171,46.1057014099262
3,400000,-171,46.328534547413
4,400000,-171,46.2720495108039
5,400000,-171,46.3551487480224
6,400000,-171,46.2855550515451
7,400000,-171,46.0689682103145
8,400000,-171,46.1213467712494
9,400000,-171,46.21336224342
10,400000,-171,46.2140948016977
1,400000,-170,46.02972954162
2,400000,-170,46.1318674203529
3,400000,-170,46.1760245456117
4,400000,-170,46.2029746675072
5,400000,-170,46.3531757679169
6,400000,-170,46.5242204917096
7,400000,-170,46.2233605625597
8,400000,-170,46.1131792707918
9,400000,-170,46.9204548115539
10,400000,-170,46.3669868481731
1,500000,-180,47.5217770473393
2,500000,-180,47.6928911812404
3,500000,-180,47.5479327786385
4,500000,-180,47.8289638997113
5,500000,-180,47.5207427149623
6,500000,-180,47.7713908266837
7,500000,-180,47.8420162242064
8,500000,-180,47.7181431816896
9,500000,-180,47.7129496978423
10,500000,-180,47.5221709001432
1,500000,-179,47.71631242174
2,500000,-179,47.7247636462711
3,500000,-179,47.4292554155986
4,500000,-179,47.6823651503894
5,500000,-179,47.8687085119144
6,500000,-179,47.3491859871039
7,500000,-179,47.4532425943191
8,500000,-179,47.4807037525122
9,500000,-179,47.6787137750795
10,500000,-179,47.796260956077
1,500000,-178,47.7055095806101
2,500000,-178,47.6948488133538
3,500000,-178,47.5516543310897
4,500000,-178,47.5345323310896
5,500000,-178,47.6916609933548
6,500000,-178,47.8577369165347
7,500000,-178,47.6695447962753
8,500000,-178,47.4869341988501
9,500000,-178,47.3495578842408
10,500000,-178,47.500387035791
1,500000,-177,47.6599334387747
2,500000,-177,47.6628452396975
3,500000,-177,47.7575703471186
4,500000,-177,47.7836215268094
5,500000,-177,47.2889621962479
6,500000,-177,47.3984752127986
7,500000,-177,47.6665601188721
8,500000,-177,47.9278209451411
9,500000,-177,47.5792312722721
10,500000,-177,47.3053158269762
1,500000,-176,47.888078530614
2,500000,-176,47.1753934481461
3,500000,-176,47.8504754793986
4,500000,-176,47.4933980115932
5,500000,-176,47.2514016620919
6,500000,-176,47.8273530281834
7,500000,-176,47.8554164833237
8,500000,-176,48.0223239514329
9,500000,-176,47.9381665887092
10,500000,-176,47.5710853573458
1,500000,-175,47.8422914735361
2,500000,-175,47.6677574265384
3,500000,-175,47.64866108415
4,500000,-175,47.7282731636717
5,500000,-175,47.4487229736478
6,500000,-175,47.3203499925474
7,500000,-175,47.6867263075796
8,500000,-175,47.5986395719394
9,500000,-175,47.5290036705702
10,500000,-175,47.8703775393287
1,500000,-174,47.5673759598728
2,500000,-174,47.7927070446369
3,500000,-174,47.5385369939346
4,500000,-174,48.0332450288642
5,500000,-174,47.7104022913941
6,500000,-174,47.7199400545613
7,500000,-174,47.9175178514803
8,500000,-174,47.3598526140006
9,500000,-174,47.4273119258563
10,500000,-174,47.8353806441186
1,500000,-173,47.7182441909581
2,500000,-173,47.9014570630425
3,500000,-173,47.5677324017348
4,500000,-173,47.9499163725748
5,500000,-173,47.8386639172601
6,500000,-173,47.637574063076
7,500000,-173,47.4666002632113
8,500000,-173,47.3499625866794
9,500000,-173,47.6316351860369
10,500000,-173,47.5299865715231
1,500000,-172,47.6985546449787
2,500000,-172,47.9001993149894
3,500000,-172,48.1641104551006
4,500000,-172,47.8980755265319
5,500000,-172,47.7895507132048
6,500000,-172,47.5623501951664
7,500000,-172,47.903048930628
8,500000,-172,47.816927069571
9,500000,-172,47.9243642810968
10,500000,-172,47.9897773273881
1,500000,-171,47.5679530829387
2,500000,-171,47.6901564840794
3,500000,-171,47.6431693731201
4,500000,-171,47.7064875542138
5,500000,-171,47.4901513266342
6,500000,-171,47.7272310306267
7,500000,-171,47.8311017978706
8,500000,-171,47.6018041757338
9,500000,-171,47.5632537192802
10,500000,-171,47.6432785461159
1,500000,-170,47.6588134659793
2,500000,-170,48.107553558217
3,500000,-170,47.6252526773147
4,500000,-170,47.9331922094064
