Number of Run,k_f,Noise Level in dBm,Figure of Merit
3,400000,2.58091124208701e-13,45.9721268570477
4,400000,2.43254761860837e-13,46.2292440445117
5,400000,2.52723044027912e-13,46.0634091108577
6,400000,2.49209020205867e-13,46.1242199734586
7,400000,2.46969184084462e-13,46.1634298809899
8,400000,2.40590634523271e-13,46.2770703751269
9,400000,2.40120234890113e-13,46.2855699553601
10,400000,2.48512903516896e-13,46.1363681156036
1,400000,3.04504047064787e-13,46.2539268598032
2,400000,3.1402347079914e-13,46.1202364565186
3,400000,3.18338496049402e-13,46.0609659487918
4,400000,3.28816845286096e-13,45.9203169671198
5,400000,3.23377915788835e-13,45.9927539742695
6,400000,3.32792655490964e-13,45.8681202191636
7,400000,3.21027060250483e-13,46.0244411323541
8,400000,3.21488932308267e-13,46.0181972871295
9,400000,2.97490781439586e-13,46.3551224257686
10,400000,3.29757941688613e-13,45.9079049142797
1,400000,4.09958610463246e-13,45.9624574261527
2,400000,3.69747235606176e-13,46.4108081935156
3,400000,3.9792813752534e-13,46.091811058309
4,400000,3.90012902389335e-13,46.1790678048033
5,400000,3.905448206197e-13,46.1731487246067
6,400000,3.87966843145005e-13,46.2019114403422
7,400000,3.6931167443626e-13,46.4159271855731
8,400000,3.83749349312732e-13,46.2493810296102
9,400000,3.84323376997588e-13,46.2428895322854
10,400000,3.77328536748065e-13,46.3226610362145
1,400000,4.58193556157181e-13,46.4793677789494
2,400000,4.69708907599857e-13,46.3715695879604
3,400000,5.07104530991056e-13,46.038882640583
4,400000,4.9368147805218e-13,46.1553892139563
5,400000,4.84976637134524e-13,46.2326493729391
6,400000,4.93425878724791e-13,46.1576383184571
