Number of Run,k_f,Noise Level,Figure of Merit
5,300000,-172,44.8719157167302
6,300000,-172,44.8037943893993
7,300000,-172,44.7522885562081
8,300000,-172,44.9207050159795
9,300000,-172,44.5581452255163
10,300000,-172,44.4539084964272
1,300000,-171,44.9904806254805
2,300000,-171,44.4253987302232
3,300000,-171,44.9077536854162
4,300000,-171,45.0032384409571
5,300000,-171,44.6823867268223
6,300000,-171,44.7754505425097
7,300000,-171,44.9210396109548
8,300000,-171,44.7113240886841
9,300000,-171,44.8282920989161
10,300000,-171,44.9490433008428
1,300000,-170,44.8692823618094
2,300000,-170,44.9395683576724
3,300000,-170,44.4838399508156
4,300000,-170,44.6081156994825
5,300000,-170,44.9832284803334
6,300000,-170,44.6550844699344
7,300000,-170,44.8126226102359
8,300000,-170,44.8895514581862
9,300000,-170,44.8595592809867
10,300000,-170,44.7818075505495
1,400000,-180,45.810799570137
2,400000,-180,46.108205942074
3,400000,-180,46.1721840728406
4,400000,-180,46.1530371181141
5,400000,-180,46.1890709520797
6,400000,-180,46.0824276731816
7,400000,-180,46.3611158681062
8,400000,-180,46.1155669928933
9,400000,-180,46.2000215225625
10,400000,-180,46.2173163475628
1,400000,-179,45.8670901256507
2,400000,-179,46.4687828507234
3,400000,-179,45.9425039432279
4,400000,-179,46.0550227267437
5,400000,-179,46.3588585642907
6,400000,-179,46.3344272090196
7,400000,-179,45.7871662099709
8,400000,-179,46.1696288588813
9,400000,-179,46.0528261554474
10,400000,-179,46.1481448075781
1,400000,-178,46.0070027286536
2,400000,-178,46.1044008616358
3,400000,-178,46.4090680153365
4,400000,-178,46.111605122298
5,400000,-178,46.1999263845192
6,400000,-178,46.0954632152821
7,400000,-178,46.1416542104139
8,400000,-178,46.0802753203816
9,400000,-178,46.2929907094822
10,400000,-178,46.3315553723074
1,400000,-177,46.2977538133015
2,400000,-177,46.2986283291828
3,400000,-177,46.3420230214182
4,400000,-177,46.1055788224587
5,400000,-177,46.1311310829581
6,400000,-177,46.1006637322704
7,400000,-177,46.1309627514382
8,400000,-177,46.1079029279733
9,400000,-177,46.568072985395
10,400000,-177,46.06063783707
1,400000,-176,46.4135506461438
2,400000,-176,46.4552793003814
3,400000,-176,46.27666741002
4,400000,-176,46.5638589420007
5,400000,-176,46.2520574765404
6,400000,-176,46.2132226515833
7,400000,-176,46.227096976346
8,400000,-176,45.8309532769069
9,400000,-176,46.3031530606221
10,400000,-176,46.1393285167241
1,400000,-175,46.2644378277951
2,400000,-175,46.3473162811341
3,400000,-175,46.669323104144
4,400000,-175,46.2935034579686
5,400000,-175,46.5357437104524
6,400000,-175,46.3492064301842
7,400000,-175,46.3600869780613
8,400000,-175,46.2485542237851
9,400000,-175,46.4339703235597
10,400000,-175,46.4734537179258
1,400000,-174,46.2754987127566
2,400000,-174,46.4373901509392
3,400000,-174,46.5636794900642
4,400000,-174,46.0452022180204
5,400000,-174,46.1717529816839
6,400000,-174,46.1153941578139
7,400000,-174,45.9869044915077
